,Date_Time,Site_ID,NOx,NO2,NO,PM10,O3,Temperature,ObjectId,ObjectId2,NVPM10,VPM10,NVPM2_5,PM2_5,VPM2_5,CO,RH,Pressure,SO2
16710,2020-12-05,501,82.75,35.25,31.0,2.900000095,0.0,0.0,0,16711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16711,2020-12-05,501,75.5,38.5,24.0,4.525000095,0.0,0.0,0,16712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16712,2020-12-05,501,45.25,28.0,11.5,6.824999809,0.0,0.0,0,16713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16713,2020-12-05,501,133.25,57.25,49.5,11.35000038,0.0,0.0,0,16714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16714,2020-12-05,501,156.0,52.0,68.25,19.60000038,0.0,0.0,0,16715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16715,2020-12-06,501,256.25,58.0,129.0,17.60000038,0.0,0.0,0,16716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16716,2020-12-07,501,25.5,20.0,3.75,16.97500038,0.0,0.0,0,16717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16717,2020-12-07,501,26.75,15.5,7.25,15.5,0.0,0.0,0,16718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16718,2020-12-07,501,108.75,33.25,49.5,15.10000038,0.0,0.0,0,16719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16719,2020-12-07,501,258.75,57.75,131.25,17.97500038,0.0,0.0,0,16720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16720,2020-12-07,501,331.0,59.5,176.75,27.07500076,0.0,0.0,0,16721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16721,2020-12-07,501,254.5,67.0,122.25,26.45000076,0.0,0.0,0,16722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16722,2020-12-07,501,324.25,70.0,165.75,36.75,0.0,0.0,0,16723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16723,2020-12-07,501,205.5,45.0,104.5,31.39999962,0.0,0.0,0,16724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16724,2020-12-08,501,140.5,27.25,73.75,20.07500076,0.0,0.0,0,16725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16725,2020-12-08,501,592.75,102.75,319.5,18.82500076,0.0,0.0,0,16726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16726,2020-12-08,501,394.5,75.5,208.25,16.5,0.0,0.0,0,16727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16727,2020-12-08,501,341.0,76.0,173.0,27.25,0.0,0.0,0,16728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16728,2020-12-09,501,21.25,11.25,6.25,10.92500019,0.0,0.0,0,16729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16729,2020-12-09,501,120.25,46.75,48.0,11.14999962,0.0,0.0,0,16730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16730,2020-12-09,501,0.0,0.0,0.0,0.0,0.0,0.0,0,16731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16731,2020-12-09,501,31.5,23.5,5.0,12.0,0.0,0.0,0,16732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16732,2020-12-10,501,51.5,27.25,15.75,5.599999905,0.0,0.0,0,16733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16733,2020-12-10,501,70.75,42.5,18.5,8.449999809,0.0,0.0,0,16734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16734,2020-12-10,501,116.75,44.5,47.0,12.19999981,0.0,0.0,0,16735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16735,2020-12-10,501,158.5,47.0,72.75,12.97500038,0.0,0.0,0,16736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16736,2020-12-10,501,137.75,49.25,57.75,10.92500019,0.0,0.0,0,16737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16737,2020-12-10,501,138.0,48.0,58.75,14.05000019,0.0,0.0,0,16738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16738,2020-12-11,501,331.25,93.75,154.75,21.67499924,0.0,0.0,0,16739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16739,2020-12-11,501,362.25,97.75,172.25,19.04999924,0.0,0.0,0,16740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16740,2020-12-11,501,481.75,118.0,237.0,19.85000038,0.0,0.0,0,16741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16741,2020-12-12,501,16.25,9.5,4.0,7.199999809,0.0,0.0,0,16742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16742,2020-12-12,501,188.25,62.0,82.25,16.97500038,0.0,0.0,0,16743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16743,2020-12-12,501,267.5,68.25,129.5,34.29999924,0.0,0.0,0,16744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16744,2020-12-13,501,216.75,56.75,104.25,38.42499924,0.0,0.0,0,16745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16745,2020-12-13,501,19.5,16.25,2.25,13.80000019,0.0,0.0,0,16746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16746,2020-12-13,501,66.25,30.5,23.25,5.199999809,0.0,0.0,0,16747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16747,2020-12-14,501,260.5,55.25,133.75,64.27500153,0.0,0.0,0,16748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16748,2020-12-14,501,321.75,91.25,150.25,51.25,0.0,0.0,0,16749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16749,2020-12-16,501,303.0,93.25,136.75,12.0,0.0,0.0,0,16750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16750,2020-12-16,501,225.0,74.5,98.5,19.20000076,0.0,0.0,0,16751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16751,2020-12-16,501,211.0,56.25,101.0,16.97500038,0.0,0.0,0,16752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16752,2020-12-17,501,23.75,14.75,5.5,10.97500038,0.0,0.0,0,16753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16753,2020-12-17,501,12.5,7.25,3.5,8.074999809,0.0,0.0,0,16754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
